Funcion,Algoritmo,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Tiempo
,,min,max,mean,median,std,mean
ackley,Algoritmo Genetico,0.0,1.2257411716696964,0.04085803905565655,0.0,0.22378869646210164,1.685615356763204
ackley,Recocido Simulado (Decremento Lento),0.0,2.637531092108304,0.20199684492732076,0.0,0.6321504424307955,0.009763312339782716
ackley,Recocido Simulado (Logaritmico),0.0,3.275966186384373,2.4388215714747594,2.376360272343085,0.6058863724354916,0.00043305555979410805
griewank,Algoritmo Genetico,0.0,0.0,0.0,0.0,0.0,1.8020039637883505
griewank,Recocido Simulado (Decremento Lento),0.08243233686544527,0.7180079896177101,0.4132203508509709,0.4017698049353377,0.17100308940595646,0.013495977719624836
griewank,Recocido Simulado (Logaritmico),0.12819206846881503,0.7358079053790294,0.5381942375368517,0.6385528930243488,0.1932189344275744,0.0006335099538167317
rastrigin,Algoritmo Genetico,0.19824084527638602,0.19824084527638602,0.19824084527638602,0.19824084527638602,0.0,1.749556008974711
rastrigin,Recocido Simulado (Decremento Lento),0.21934047925756242,0.814404340012565,0.3534788725179499,0.32255115090272746,0.12889514850260123,0.012501692771911621
rastrigin,Recocido Simulado (Logaritmico),0.22487352637178246,0.8345678765060999,0.47276596453560354,0.48551730501764573,0.17185511717238577,0.0005331834157307943
rosenbrock,Algoritmo Genetico,0.0,9.0,1.8,0.0,3.661542919552376,1.8595397551854451
rosenbrock,Recocido Simulado (Decremento Lento),0.0,9.0,0.9,0.0,2.746157189664282,0.014724103609720866
rosenbrock,Recocido Simulado (Logaritmico),0.0,405.0,216.96666666666667,205.0,97.67344725589743,0.0006011644999186198
sphere,Algoritmo Genetico,0.0,1.0,0.3,0.0,0.46609159969939906,1.3844297329584758
sphere,Recocido Simulado (Decremento Lento),0.0,1.0,0.1,0.0,0.30512857662936466,0.0074026266733805334
sphere,Recocido Simulado (Logaritmico),1.0,6.0,3.6666666666666665,3.0,1.4932799662056895,0.0002689838409423828
