Funcion,Algoritmo,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Mejor Aptitud,Tiempo
,,min,max,mean,median,std,mean
ackley,Algoritmo Genetico (Elitismo),0.0,0.0,0.0,0.0,0.0,1.8335885047912597
ackley,Algoritmo Genetico (Generacional),0.0,1.2257411716696964,0.04085803905565655,0.0,0.22378869646210164,1.8388344844182332
ackley,Algoritmo Genetico (Reemplazo de los peores),0.0,0.0,0.0,0.0,0.0,1.838966139157613
ackley,Recocido Simulado (Decremento Lento),0.0,2.0751545922899837,0.30582507876701304,0.0,0.6396131441435065,0.010544824600219726
ackley,Recocido Simulado (Logaritmico),2.0751545922899837,3.081625695846352,2.498024235969545,2.5069456822256946,0.3050176537920063,0.00043283303578694663
griewank,Algoritmo Genetico (Elitismo),0.0,0.0,0.0,0.0,0.0,1.8349883000055949
griewank,Algoritmo Genetico (Generacional),0.0,0.0,0.0,0.0,0.0,1.8332496166229248
griewank,Algoritmo Genetico (Reemplazo de los peores),0.0,0.0,0.0,0.0,0.0,1.8379029035568237
griewank,Recocido Simulado (Decremento Lento),0.07083227021794813,0.7655469047953132,0.3431969233780594,0.3390394360449455,0.14554318475454686,0.01315898895263672
griewank,Recocido Simulado (Logaritmico),0.21422867284114455,0.747786970137946,0.5033243817331694,0.5140387326611551,0.15923012933237107,0.0004514932632446289
rastrigin,Algoritmo Genetico (Elitismo),0.19824084527638602,0.19824084527638602,0.19824084527638602,0.19824084527638602,0.0,1.7787819226582846
rastrigin,Algoritmo Genetico (Generacional),0.19824084527638602,0.19824084527638602,0.19824084527638602,0.19824084527638602,0.0,1.7647821108500164
rastrigin,Algoritmo Genetico (Reemplazo de los peores),0.19824084527638602,0.19824084527638602,0.19824084527638602,0.19824084527638602,0.0,1.7827334801355998
rastrigin,Recocido Simulado (Decremento Lento),0.22769036882722818,0.6166295480488203,0.35308607834476147,0.3152399778173809,0.1089374257583546,0.011695543924967447
rastrigin,Recocido Simulado (Logaritmico),0.2397507865132762,0.7872713271588555,0.4519727402127093,0.4406522268202943,0.1386782859660759,0.0005036592483520508
rosenbrock,Algoritmo Genetico (Elitismo),0.0,9.0,1.8,0.0,3.661542919552376,1.916206693649292
rosenbrock,Algoritmo Genetico (Generacional),0.0,9.0,2.1,0.0,3.871647604368687,1.9576270659764607
rosenbrock,Algoritmo Genetico (Reemplazo de los peores),0.0,9.0,1.5,0.0,3.411441196105065,1.961529533068339
rosenbrock,Recocido Simulado (Decremento Lento),0.0,9.0,2.4,0.0,4.047988005979232,0.015052477518717447
rosenbrock,Recocido Simulado (Logaritmico),0.0,403.0,187.7,202.0,120.23114233095723,0.0004821141560872396
sphere,Algoritmo Genetico (Elitismo),0.0,1.0,0.26666666666666666,0.0,0.44977644510880366,1.4392805099487305
sphere,Algoritmo Genetico (Generacional),0.0,1.0,0.3,0.0,0.46609159969939906,1.4340846935908
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.0,0.3,0.0,0.466091599699399,1.4441584348678589
sphere,Recocido Simulado (Decremento Lento),0.0,1.0,0.03333333333333333,0.0,0.18257418583505536,0.007554769515991211
sphere,Recocido Simulado (Logaritmico),2.0,7.0,4.1,4.0,1.1249521062602226,0.00028172334035237633
