Funcion,Algoritmo,Mejor Aptitud,Tiempo
sphere,Algoritmo Genetico (Generacional),0.0,1.5239992141723633
sphere,Algoritmo Genetico (Elitismo),1.0,1.4329030513763428
sphere,Algoritmo Genetico (Reemplazo de los peores),1.0,1.4321107864379883
sphere,Recocido Simulado (Logaritmico),5.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007978677749633789
sphere,Algoritmo Genetico (Generacional),0.0,1.4266819953918457
sphere,Algoritmo Genetico (Elitismo),0.0,1.427319049835205
sphere,Algoritmo Genetico (Reemplazo de los peores),1.0,1.4398298263549805
sphere,Recocido Simulado (Logaritmico),6.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.008106231689453125
sphere,Algoritmo Genetico (Generacional),0.0,1.429140329360962
sphere,Algoritmo Genetico (Elitismo),0.0,1.4426517486572266
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.4233508110046387
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007673501968383789
sphere,Algoritmo Genetico (Generacional),0.0,1.4140386581420898
sphere,Algoritmo Genetico (Elitismo),0.0,1.4293172359466553
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.425710678100586
sphere,Recocido Simulado (Logaritmico),4.0,0.0009608268737792969
sphere,Recocido Simulado (Decremento Lento),0.0,0.007903575897216797
sphere,Algoritmo Genetico (Generacional),1.0,1.4205889701843262
sphere,Algoritmo Genetico (Elitismo),0.0,1.4373242855072021
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.4323525428771973
sphere,Recocido Simulado (Logaritmico),5.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007718086242675781
sphere,Algoritmo Genetico (Generacional),1.0,1.4100818634033203
sphere,Algoritmo Genetico (Elitismo),0.0,1.4192023277282715
sphere,Algoritmo Genetico (Reemplazo de los peores),1.0,1.3980762958526611
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007219552993774414
sphere,Algoritmo Genetico (Generacional),1.0,1.398740291595459
sphere,Algoritmo Genetico (Elitismo),1.0,1.4109253883361816
sphere,Algoritmo Genetico (Reemplazo de los peores),1.0,1.4003055095672607
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006977558135986328
sphere,Algoritmo Genetico (Generacional),0.0,1.4098138809204102
sphere,Algoritmo Genetico (Elitismo),0.0,1.424788236618042
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.568436861038208
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006796121597290039
sphere,Algoritmo Genetico (Generacional),0.0,1.4276924133300781
sphere,Algoritmo Genetico (Elitismo),1.0,1.424429178237915
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.4220154285430908
sphere,Recocido Simulado (Logaritmico),2.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0070154666900634766
sphere,Algoritmo Genetico (Generacional),0.0,1.4364845752716064
sphere,Algoritmo Genetico (Elitismo),0.0,1.4177830219268799
sphere,Algoritmo Genetico (Reemplazo de los peores),0.0,1.4321951866149902
sphere,Recocido Simulado (Logaritmico),4.0,0.0009884834289550781
sphere,Recocido Simulado (Decremento Lento),0.0,0.0075206756591796875
sphere,Algoritmo Genetico (Generacional),0.0,1.4352061748504639
sphere,Algoritmo Genetico (Elitismo),1.0,1.4206700325012207
