Funcion,Algoritmo,Mejor Aptitud,Tiempo
sphere,Algoritmo Genetico,0.0,1.4210009574890137
sphere,Recocido Simulado (Logaritmico),5.0,0.0010356903076171875
sphere,Recocido Simulado (Decremento Lento),0.0,0.007963180541992188
sphere,Algoritmo Genetico,1.0,1.4535188674926758
sphere,Recocido Simulado (Logaritmico),5.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006999969482421875
sphere,Algoritmo Genetico,0.0,1.4085438251495361
sphere,Recocido Simulado (Logaritmico),2.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.008001565933227539
sphere,Algoritmo Genetico,0.0,1.4050004482269287
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.00699925422668457
sphere,Algoritmo Genetico,1.0,1.383542537689209
sphere,Recocido Simulado (Logaritmico),5.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.00799870491027832
sphere,Algoritmo Genetico,1.0,1.3740348815917969
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006998777389526367
sphere,Algoritmo Genetico,0.0,1.3794736862182617
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069980621337890625
sphere,Algoritmo Genetico,1.0,1.3739657402038574
sphere,Recocido Simulado (Logaritmico),3.0,0.0010001659393310547
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069997310638427734
sphere,Algoritmo Genetico,0.0,1.3805217742919922
sphere,Recocido Simulado (Logaritmico),5.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006997108459472656
sphere,Algoritmo Genetico,1.0,1.409555196762085
sphere,Recocido Simulado (Logaritmico),6.0,0.0009970664978027344
sphere,Recocido Simulado (Decremento Lento),0.0,0.006999492645263672
sphere,Algoritmo Genetico,0.0,1.3689672946929932
sphere,Recocido Simulado (Logaritmico),6.0,0.0009989738464355469
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069997310638427734
sphere,Algoritmo Genetico,1.0,1.4065196514129639
sphere,Recocido Simulado (Logaritmico),2.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.011999368667602539
sphere,Algoritmo Genetico,0.0,1.3810336589813232
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007002115249633789
sphere,Algoritmo Genetico,0.0,1.3694839477539062
sphere,Recocido Simulado (Logaritmico),3.0,0.0010001659393310547
sphere,Recocido Simulado (Decremento Lento),0.0,0.007032155990600586
sphere,Algoritmo Genetico,0.0,1.363964319229126
sphere,Recocido Simulado (Logaritmico),2.0,0.0
sphere,Recocido Simulado (Decremento Lento),1.0,0.007035493850708008
sphere,Algoritmo Genetico,0.0,1.364520788192749
sphere,Recocido Simulado (Logaritmico),1.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.007964611053466797
sphere,Algoritmo Genetico,0.0,1.3660001754760742
sphere,Recocido Simulado (Logaritmico),3.0,0.0010030269622802734
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069963932037353516
sphere,Algoritmo Genetico,0.0,1.3786911964416504
sphere,Recocido Simulado (Logaritmico),6.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.008002758026123047
sphere,Algoritmo Genetico,0.0,1.4085164070129395
sphere,Recocido Simulado (Logaritmico),6.0,0.001001119613647461
sphere,Recocido Simulado (Decremento Lento),0.0,0.006998538970947266
sphere,Algoritmo Genetico,0.0,1.3750011920928955
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.008036613464355469
sphere,Algoritmo Genetico,1.0,1.37847900390625
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069997310638427734
sphere,Algoritmo Genetico,0.0,1.3750040531158447
sphere,Recocido Simulado (Logaritmico),2.0,0.0
sphere,Recocido Simulado (Decremento Lento),1.0,0.007031917572021484
sphere,Algoritmo Genetico,0.0,1.389510154724121
sphere,Recocido Simulado (Logaritmico),6.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006999969482421875
sphere,Algoritmo Genetico,0.0,1.3765826225280762
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0070323944091796875
sphere,Algoritmo Genetico,1.0,1.3749666213989258
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069963932037353516
sphere,Algoritmo Genetico,0.0,1.3685438632965088
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.006999492645263672
sphere,Algoritmo Genetico,1.0,1.3669674396514893
sphere,Recocido Simulado (Logaritmico),4.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.00699925422668457
sphere,Algoritmo Genetico,0.0,1.367499589920044
sphere,Recocido Simulado (Logaritmico),4.0,0.0010333061218261719
sphere,Recocido Simulado (Decremento Lento),0.0,0.006998538970947266
sphere,Algoritmo Genetico,0.0,1.3934822082519531
sphere,Recocido Simulado (Logaritmico),1.0,0.0
sphere,Recocido Simulado (Decremento Lento),0.0,0.0069997310638427734
sphere,Algoritmo Genetico,0.0,1.369999885559082
sphere,Recocido Simulado (Logaritmico),3.0,0.0
sphere,Recocido Simulado (Decremento Lento),1.0,0.007997751235961914
ackley,Algoritmo Genetico,0.0,1.6623451709747314
ackley,Recocido Simulado (Logaritmico),2.376360272343085,0.0
ackley,Recocido Simulado (Decremento Lento),0.0,0.009032964706420898
ackley,Algoritmo Genetico,0.0,1.658963918685913
ackley,Recocido Simulado (Logaritmico),2.637531092108304,0.0
ackley,Recocido Simulado (Decremento Lento),0.0,0.010002851486206055
ackley,Algoritmo Genetico,0.0,1.6592471599578857
ackley,Recocido Simulado (Logaritmico),2.637531092108304,0.0
ackley,Recocido Simulado (Decremento Lento),0.0,0.00996708869934082
ackley,Algoritmo Genetico,0.0,1.6645076274871826
ackley,Recocido Simulado (Logaritmico),2.0751545922899837,0.0
ackley,Recocido Simulado (Decremento Lento),0.0,0.010033845901489258
ackley,Algoritmo Genetico,0.0,1.6569716930389404
